Positive coefficients,,,Negative coefficients,
['sv', 0.7559187223660452] ,,['ac', -0.4390099339599252] 
,,,,
['duties', 0.6810626420544493] ,,['laws', -0.397845748109086] 
,,,,
['abortion', 0.4928979236416095] ,,['sydney', -0.39743766169477135] 
,,,,
['fetus', 0.4539751099702401] ,,['consequentialism', -0.35481587757407507] 
,,,,
['theory', 0.4335735404823597] ,,['global', -0.35183775990547134] 
,,,,
['permissible', 0.42733315545683453] ,,['nora', -0.339518387068677] 
,,,,
['xe2', 0.3816512688554042] ,,['jones', -0.3229524386855941] 
,,,,
['xe2 x80', 0.3756748287752347] ,,['global consequentialism', -0.301574352925872] 
,,,,
['x80', 0.3746837207487947] ,,['mental', -0.2945029111189992] 
,,,,
['the fetus', 0.36855911049930906] ,,['ideal', -0.2925746630126396] 
,,,,
['a', 0.3651185410455282] ,,['best', -0.2909182034797938] 
,,,,
['thomson', 0.34826853184140033] ,,['code', -0.27328618435458174] 
,,,,
['citizenship', 0.3393891933703496] ,,['experienced', -0.26771265153363233] 
,,,,
['moral', 0.33785577800182454] ,,['s', -0.25571898218357975] 
,,,,
['her', 0.33370683172556875] ,,['sloane', -0.2545825514522946] 
,,,,
['theories', 0.32764576893896297] ,,['the ideal', -0.25274710577140386] 
,,,,
['associative', 0.3119681833531586] ,,['pbc', -0.24623919563968835] 
,,,,
['option set', 0.3102209271079405] ,,['of war', -0.24569282837642906] 
,,,,
['uncertainty', 0.29975183941529115] ,,['mental illness', -0.2416790415090359] 
,,,,
['optional', 0.29430318323477517] ,,['illness', -0.2409703916578582] 
,,,,
['you', 0.2908508061666588] ,,['pain', -0.23761838611411404] 
,,,,
['she', 0.28190638012530644] ,,['that', -0.2366805162358848] 
,,,,
['wild', 0.2808759108711815] ,,['job', -0.23405398518959708] 
,,,,
['account', 0.27684170930956614] ,,['the best', -0.23306369164911184] 
,,,,
['i', 0.2730142259746213] ,,['emissions', -0.23278567320737442] 
,,,,
['to protect', 0.2727052820448836] ,,['accident', -0.23222763511928468] 
,,,,
['options', 0.2710538638597559] ,,['difference', -0.2274616635603953] 
,,,,
['arrangement', 0.26320442457496795] ,,['at', -0.22709555210042143] 
,,,,
['option', 0.2624523245371981] ,,['rules', -0.22503948959079376] 
,,,,
['associative duties', 0.2608416146339513] ,,['ideal code', -0.2221969143163356] 
,,,,
['impermissible', 0.2569009315759175] ,,['rule', -0.22113692099526347] 
,,,,
['body', 0.2511745039504731] ,,['george', -0.22081084822351404] 
,,,,
['protect', 0.24845444224885113] ,,['freedom', -0.22031843978501456] 
,,,,
['as', 0.2446093854570065] ,,['pleasure', -0.21879371977637935] 
,,,,
['self', 0.24180855854864047] ,,['countries', -0.21546417589018077] 
,,,,
['woman', 0.23832808150507026] ,,['wellbeing', -0.21546276087590344] 
,,,,
['reasons', 0.23795349601176072] ,,['level', -0.21534360375110437] 
,,,,
['moral uncertainty', 0.23587652852197416] ,,['page', -0.2102373655274147] 
,,,,
['scanlon', 0.23511853743943165] ,,['reproductive', -0.20970027662209226] 
,,,,
['x80 xa0', 0.23226761805075852] ,,['experienced harm', -0.20934182210488858] 
,,,,
['xa0', 0.23226761805075852] ,,['will', -0.20510938253903033] 
,,,,
['xe2 x80 xa0', 0.23226761805075852] ,,['mcmahan', -0.19992224201239026] 
,,,,
['deterrence', 0.2311969989717592] ,,['consequences', -0.199120511806722] 
,,,,
['belief', 0.22754266674993587] ,,['any', -0.19902136429933137] 
,,,,
['contractualism', 0.2268174526826634] ,,['carbon', -0.19336641887962475] 
,,,,
['omission', 0.22590581430401344] ,,['obligations', -0.18920641366085425] 
,,,,
['duty', 0.22522658949625732] ,,['better', -0.1884775271789262] 
,,,,
['consent', 0.22471708790871045] ,,['the ideal code', -0.1871588887462182] 
,,,,
['were', 0.22366989931319298] ,,['consequentialist', -0.18387374023646633] 
,,,,
['belief relative', 0.22349320598487898] ,,['oxford', -0.1838384825595201] 
,,,,
['option sets', 0.2215272917640199] ,,['cousin', -0.18043699630460075] 
,,,,
['moral belief', 0.21851902000918724] ,,['effective', -0.18024893279597318] 
,,,,
['moral belief relative', 0.21851902000918724] ,,['in accident', -0.17811214788808072] 
,,,,
['1', 0.21733895221262192] ,,['never', -0.1759205006638464] 
,,,,
['retributivism', 0.21405771119600753] ,,['existed', -0.17393136273383275] 
,,,,
['emotions', 0.213748269277216] ,,['singer', -0.17260790319724523] 
,,,,
['kill', 0.21374528081235822] ,,['population', -0.17137305197436808] 
,,,,
['0812', 0.21211681117144424] ,,['x80 x94', -0.16955009401790605] 
,,,,
['0812 by', 0.21211681117144424] ,,['x94', -0.16955009401790605] 
,,,,
['0812 by new', 0.21211681117144424] ,,['xe2 x80 x94', -0.16955009401790605] 
,,,,
['to save', 0.2090333308047683] ,,['the job', -0.16920753796682794] 
,,,,
['by new', 0.20864300093367807] ,,['commitment', -0.169096109560127] 
,,,,
['by new york', 0.20864300093367807] ,,['homicidal', -0.16827205050932464] 
,,,,
['save', 0.20466728784273547] ,,['animal', -0.16705044606562502] 
,,,,
['relationships', 0.20409939689690176] ,,['at all', -0.1660697669746124] 
,,,,
['mahon', 0.20407348025472768] ,,['www', -0.16595439724494357] 
,,,,
['28 march', 0.20369680681314267] ,,['the', -0.16583440977596425] 
,,,,
['28 march 2018', 0.20369680681314267] ,,['have', -0.16475955057956487] 
,,,,
['non 28', 0.20369680681314267] ,,['content', -0.16413823279014905] 
,,,,
['non 28 march', 0.20369680681314267] ,,['involuntary', -0.16394463210053176] 
,,,,
['university user', 0.20369680681314267] ,,['worse', -0.16369144822882026] 
,,,,
['university user non', 0.20369680681314267] ,,['laws of', -0.1633845801245197] 
,,,,
['user non', 0.20369680681314267] ,,['children', -0.16320695789008802] 
,,,,
['user non 28', 0.20369680681314267] ,,['might', -0.1607140534103841] 
,,,,
['york university user', 0.20369680681314267] ,,['applied', -0.1604963993465795] 
,,,,
['noncombatants', 0.20146427401295564] ,,['rate', -0.1603411952551135] 
,,,,
['punishment', 0.19928231202443625] ,,['all', -0.15773847334339502] 
,,,,
['harming', 0.1971863431381847] ,,['one', -0.15647883013733155] 
,,,,
['prisoner', 0.19689691877844018] ,,['best consequences', -0.1563496199650749] 
,,,,
['in war', 0.19454438567663412] ,,['nsydney', -0.15627522615120548] 
,,,,
['benefit', 0.19429165473165902] ,,['utilitarian', -0.15623774279024755] 
,,,,
['id', 0.19317508958384078] ,,['impact', -0.15578785472736578] 
,,,,
['sets', 0.1879713151139807] ,,['contributions', -0.1541193242313814] 
,,,,
['and', 0.18621196242297128] ,,['impartial', -0.15370417403388723] 
,,,,
['species', 0.18592620225988257] ,,['enrichment', -0.15250337105396844] 
,,,,
['order', 0.1845074651023534] ,,['ac xe2', -0.15091858756002122] 
,,,,
['not', 0.18387256652026046] ,,['ac xe2 x80', -0.15091858756002122] 
,,,,
['justified', 0.183606951985507] ,,['the best consequences', -0.1506651431203681] 
,,,,
['samaritan', 0.18318755739494902] ,,['world', -0.14889538365963173] 
,,,,
['your', 0.18313510576413705] ,,['bene', -0.1487144530376295] 
,,,,
['associativist', 0.18265570988205856] ,,['reproduction', -0.14807711137588353] 
,,,,
['swimmer', 0.1821613365884163] ,,['suffering', -0.1460272872011234] 
,,,,
['self sacrifice', 0.18148495257397185] ,,['oxfordscholarship', -0.14501329688848846] 
,,,,
['to', 0.17867460445798217] ,,['oxfordscholarship com', -0.14501329688848846] 
,,,,
['causal', 0.17582978779029648] ,,['www oxfordscholarship', -0.14501329688848846] 
,,,,
['cases', 0.1750538241911285] ,,['www oxfordscholarship com', -0.14501329688848846] 
,,,,
['justi', 0.17479647296798267] ,,['stepwise', -0.14484114116058477] 
,,,,
['car', 0.17434225714300391] ,,['stepwise harm', -0.14484114116058477] 
,,,,
['duties to', 0.17405441924865048] ,,['perceptible', -0.14412606966583782] 
,,,,
['the court', 0.17318375027230906] ,,['global consequentialist', -0.1423755415244705] 